STT,Mô tả yêu cầu,Tác nhân
420,API đồng bộ danh mục Thời gian chốt số liệu,Quản trị hệ thống
421,Quản lý danh mục Thời gian chốt số liệu,Quản trị hệ thống
422,API đồng bộ danh mục đối tượng thực hiện báo cáo,Quản trị hệ thống
423,Quản lý danh mục đối tượng thực hiện báo cáo,Quản trị hệ thống
IV.4,Kết nối API với các hệ thống nội bộ Thanh tra Chính phủ,
424,"Kết nối API đến CSDLQG về kiểm soát tài sản, thu nhập qua API Gateway",Hệ thống
425,"Kết nối API đến CSDLQG về tiếp công dân, xử lý đơn, giải quyết khiếu nại, tố cáo qua API Gateway",Hệ thống
426,"Kết nối API đến CSDLQG về đánh giá công tác PCTN, lãng phí, tiêu cực qua API Gateway",Hệ thống
427,Kết nối API đến CSDLQG về thực hiện trách nhiệm giải trình qua API Gateway,Hệ thống
428,Kết nối API đến Nền tảng số công tác thanh tra qua API Gateway,Hệ thống
429,Kết nối API đến các Phần mềm dùng chung nội bộ TTCP qua API Gateway,Hệ thống
430,Kết nối API đến Cổng truy cập tập trung qua API Gateway,Hệ thống
IV.5,Hệ thống VNeID,
431,Tra cứu hệ thống tích hợp hệ thống VNeID,Quản trị hệ thống
432,Quản lý tích hợp hệ thống VNeID,Quản trị hệ thống
433,API xác thực qua VNeID,Hệ thống VNeID
434,Ký số qua Dịch vụ chứng thực chữ ký số,Quản trị hệ thống
435,Quản lý tích hợp Dịch vụ chứng thực chữ ký số,Dịch vụ chứng thực chữ ký số
IV.6,CSDLQG về dân cư,
436,Quản lý tích hợp Hệ thống CSDLQG về dân cư,Quản trị hệ thống
437,Hệ thống CSDLQG về dân cư,Hệ thống CSDLQG về dân cư
438,API lấy dữ liệu từ Hệ thống CSDLQG về dân cư,Hệ thống CSDLQG về dân cư
439,"Tra cứu, xác thực thông tin công dân từ CSDLQG về dân cư thông qua API Gateway",Hệ thống
IV.7,"CSDLQG về cán bộ, công chức",
440,"Quản lý tích hợp với CSDLQG về cán bộ, công chức",Quản trị hệ thống
441,"API lấy dữ liệu từ CSDLQG về cán bộ, công chức","CSDLQG về cán bộ, công chức"
IV.8,CSDLQG về văn bản pháp luật,
442,Quản lý tích hợp với CSDLQG về văn bản pháp luật,Quản trị hệ thống
443,API lấy dữ liệu từ CSDLQG về văn bản pháp luật,CSDLQG về văn bản pháp luật
IV.9,"Nền tảng chia sẻ, điều phối dữ liệu (NDOP)",
444,"Quản lý tích hợp với Nền tảng chia sẻ, điều phối dữ liệu (NDOP)",Quản trị hệ thống
445,"API lấy dữ liệu từ Nền tảng chia sẻ, điều phối dữ liệu (NDOP)","Nền tảng chia sẻ, điều phối dữ liệu (NDOP)"
IV.10,Trục liên thông văn bản quốc gia,
446,API Gửi văn bản qua Trục liên thông văn bản quốc gia thông qua API Gateway,Hệ thống
447,API Nhận văn bản từ Trục liên thông văn bản quốc gia thông qua API Gateway,Hệ thống
448,API Nhận văn bản đã được cấp số và đóng dấu từ Trục liên thông văn bản quốc gia thông qua API Gateway,Hệ thống
IV.11,Dịch vụ chứng thực chữ ký số,
449,API Gửi yêu cầu ký số đến dịch vụ chứng thực chữ ký số thông qua API Gateway,Hệ thống
450,API Nhận kết quả ký số từ dịch vụ chứng thực chữ ký số thông qua API Gateway,Hệ thống
IV.12,Dịch vụ AI-OCR,
451,API Gửi tài liệu scan đến dịch vụ AI-OCR thông qua API Gateway,Hệ thống
452,API Nhận kết quả trích xuất văn bản từ dịch vụ AI-OCR thông qua API Gateway,Hệ thống
IV.13,Dịch vụ Báo cáo thông minh & Phân tích dữ liệu,
453,API Gửi dữ liệu đến dịch vụ Báo cáo thông minh & Phân tích dữ liệu thông qua API Gateway,Hệ thống
454,API Nhận kết quả phân tích từ dịch vụ Báo cáo thông minh & Phân tích dữ liệu thông qua API Gateway,Hệ thống
IV.14,Dịch vụ Trợ lý ảo,
455,API Gửi yêu cầu xử lý ngôn ngữ đến dịch vụ Trợ lý ảo thông qua API Gateway,Hệ thống
456,API Nhận kết quả xử lý ngôn ngữ từ dịch vụ Trợ lý ảo thông qua API Gateway,Hệ thống
IV.15,Dịch vụ Speech to Text,
457,API Gửi file âm thanh đến dịch vụ Speech to Text thông qua API Gateway,Hệ thống
458,API Nhận kết quả văn bản từ dịch vụ Speech to Text thông qua API Gateway,Hệ thống
IV.16,Dịch vụ Text to Speech,
459,API Gửi văn bản đến dịch vụ Text to Speech thông qua API Gateway,Hệ thống
460,API Nhận file âm thanh từ dịch vụ Text to Speech thông qua API Gateway,Hệ thống
IV.17,Giải pháp làm việc từ xa an toàn,
461,Xác thực phiên làm việc từ xa qua giải pháp làm việc từ xa an toàn thông qua API Gateway,Hệ thống
V,Quản lý chia sẻ dữ liệu,
462,Tra cứu danh sách API tích hợp,Quản trị viên hệ thống
463,Quản lý danh sách API tích hợp,Quản trị viên hệ thống
464,Tra cứu dịch vụ chia sẻ dữ liệu (nhóm API),Quản trị viên hệ thống
465,Quản lý dịch vụ chia sẻ dữ liệu (nhóm API),Quản trị viên hệ thống
466,Tra cứu thỏa thuận chia sẻ dữ liệu,Quản trị viên hệ thống
467,Quản lý thỏa thuận chia sẻ dữ liệu,Quản trị viên hệ thống
468,Theo dõi hiệu lực thỏa thuận chia sẻ dữ liệu,Hệ thống
469,Theo dõi lịch sử gọi API tích hợp,Hệ thống
470,Quản lý hòm thư phản hồi,Quản trị viên hệ thống
471,Quản lý hòm thư góp ý,Quản trị viên hệ thống
VI,Quản lý Thư viện biểu mẫu,
472,Quản lý thông tin thư viện biểu mẫu,Quản trị viên hệ thống
473,Xem thư viện biểu mẫu,Cán bộ chuyên môn; Cán bộ tiếp nhận; Người yêu cầu
474,Tải xuống biểu mẫu trống,Cán bộ chuyên môn; Cán bộ tiếp nhận; Người yêu cầu
475,Quản lý biểu mẫu để tự động điền,Quản trị viên hệ thống
VII,Tìm kiếm và lọc nâng cao,
476,Tìm kiếm toàn văn,Cán bộ chuyên môn; Cán bộ tiếp nhận; Lãnh đạo đơn vị; Cán bộ quản lý
VIII,Hệ thống log tập trung,
477,Gửi thông tin log tác động và log lỗi phát sinh sang hệ thống lưu log tập trung (API),Quản trị viên hệ thống
478,Cấu hình thời hạn lưu trữ nhật ký theo từng loại,Quản trị viên hệ thống
IX,CSDLQG về TNGT- đồng bộ tỷ lệ đơn vị công khai quy trình giải trình,
479,Quản lý tích hợp CSDLQG về thực hiện trách nhiệm giải trình để đồng bộ dữ liệu công khai quy trình,Quản trị viên hệ thống
480,"API gửi dữ liệu tỷ lệ đơn vị đã công khai quy trình, thủ tục giải trình sang CSDLQG về thực hiện trách nhiệm giải trình thông qua API Gateway",Hệ thống
X,Đồng bộ trạng thái công khai đầu mối tiếp nhận giải trình,
481,API gửi dữ liệu trạng thái công khai thông tin đầu mối tiếp nhận giải trình của từng đơn vị sang CSDLQG thông qua API Gateway,Hệ thống
XI,Đồng bộ kết quả giải trình công khai và tra cứu không xác thực,
482,API gửi kết quả giải trình đã được phê duyệt công khai sang CSDLQG về thông qua API Gateway,Hệ thống
483,API nhận danh sách kết quả giải trình công khai từ CSDLQG về thực hiện trách nhiệm giải trình không cần xác thực thông qua API Gateway,CSDLQG về thực hiện trách nhiệm giải trình
XII,Đồng bộ tỷ lệ số hóa hồ sơ giải trình,
484,API gửi dữ liệu tỷ lệ hồ sơ giải trình được số hóa theo từng đơn vị sang CSDLQG thông qua API Gateway,Hệ thống
XIII,Đồng bộ tỷ lệ tra cứu điện tử và cung cấp tra cứu hồ sơ cho hệ thống ngoài,
485,API gửi dữ liệu tỷ lệ hồ sơ giải trình có thể tra cứu trên môi trường điện tử sang CSDLQG thông qua API Gateway,Hệ thống
486,API nhận danh sách hồ sơ giải trình theo điều kiện lọc từ CSDLQG thông qua API Gateway,CSDLQG về thực hiện trách nhiệm giải trình
487,API nhận lịch sử xử lý theo từng bước quy trình của hồ sơ giải trình từ CSDLQG thông qua API Gateway,CSDLQG về thực hiện trách nhiệm giải trình
M,ĐÁP ỨNG VỀ BÁO CÁO THỐNG KÊ,
I.1,Báo cáo Thống kê,
488,Tra cứu báo cáo thống kê,Cán bộ quản lý; Lãnh đạo đơn vị; Cán bộ chuyên môn
489,Báo cáo thống kê yêu cầu giải trình đã tiếp nhận,Cán bộ quản lý; Lãnh đạo đơn vị
490,Báo cáo thống kê yêu cầu giải trình đã giải quyết,Cán bộ quản lý; Lãnh đạo đơn vị
491,Báo cáo thống kê yêu cầu giải trình từ chối,Cán bộ quản lý; Lãnh đạo đơn vị
492,Báo cáo thống kê yêu cầu giải trình đình chỉ vĩnh viễn,Cán bộ quản lý; Lãnh đạo đơn vị
493,Báo cáo thống kê yêu cầu giải trình đình chỉ tạm thời,Cán bộ quản lý; Lãnh đạo đơn vị
494,Báo cáo thống kê yêu cầu giải trình gia hạn,Cán bộ quản lý; Lãnh đạo đơn vị
495,Báo cáo thống kê yêu cầu giải trình quá hạn,Cán bộ quản lý; Lãnh đạo đơn vị
496,Xuất báo cáo thống kê yêu cầu giải trình bản (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
497,Xuất báo cáo thống kê yêu cầu giải trình bản (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.2,Báo cáo tiến độ xử lý,
498,Báo cáo Tiến độ xử lý yêu cầu giải trình theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
499,Báo cáo Tiến độ xử lý yêu cầu giải trình theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
500,"Báo cáo Tiến độ xử lý yêu cầu giải trình theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
501,Báo cáo Tiến độ xử lý yêu cầu giải trình theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
502,Xuất báo cáo Tiến độ xử lý yêu cầu giải trình (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
503,Xuất báo cáo Tiến độ xử lý yêu cầu giải trình (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.3,Báo cáo tỷ lệ hoàn thành giải trình,
504,Báo cáo Tỷ lệ hoàn thành giải trình đúng hạn theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
505,Báo cáo Tỷ lệ hoàn thành giải trình đúng hạn theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
506,"Báo cáo Tỷ lệ hoàn thành giải trình đúng hạn theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
507,Báo cáo Tỷ lệ giải trình quá hạn theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
508,Báo cáo Tỷ lệ giải trình quá hạn theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
509,"Báo cáo Tỷ lệ giải trình quá hạn theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
510,Xuất báo cáo Tỷ lệ hoàn thành giải trình ( PDF),Cán bộ quản lý; Lãnh đạo đơn vị
511,Xuất báo cáo Tỷ lệ hoàn thành giải trình ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.4,Báo cáo Tỷ lệ giải trình bằng văn bản,
512,Báo cáo Tỷ lệ giải trình bằng văn bản theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
513,Báo cáo Tỷ lệ giải trình bằng văn bản theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
514,"Báo cáo Tỷ lệ giải trình bằng văn bản theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
515,Báo cáo Tỷ lệ giải trình bằng văn bản theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
516,Xuất báo cáo Tỷ lệ giải trình bằng văn bản (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
517,Xuất báo cáo Tỷ lệ giải trình bằng văn bản (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.5,Báo cáo Tỷ lệ giải trình trực tiếp,
518,Báo cáo Tỷ lệ giải trình trực tiếp theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
519,Báo cáo Tỷ lệ giải trình trực tiếp theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
520,"Báo cáo Tỷ lệ giải trình trực tiếp theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
521,Báo cáo Tỷ lệ giải trình trực tiếp theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
522,Xuất báo cáo Tỷ lệ giải trình trực tiếp (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
523,Xuất báo cáo Tỷ lệ giải trình trực tiếp (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.6,Báo cáo Tỷ lệ yêu cầu giải trình,
524,Báo cáo Tỷ lệ yêu cầu giải trình được tiếp nhận theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
525,Báo cáo Tỷ lệ yêu cầu giải trình được tiếp nhận theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
526,"Báo cáo Tỷ lệ yêu cầu giải trình được tiếp nhận theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
527,Báo cáo Tỷ lệ yêu cầu giải trình được tiếp nhận theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
528,Báo cáo Tỷ lệ yêu cầu giải trình bị từ chối theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
529,Báo cáo Tỷ lệ yêu cầu giải trình bị từ chối theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
530,"Báo cáo Tỷ lệ yêu cầu giải trình bị từ chối theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
531,Báo cáo Tỷ lệ yêu cầu giải trình bị từ chối theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
532,Báo cáo Tỷ lệ yêu cầu giải trình được gia hạn theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
533,Báo cáo Tỷ lệ yêu cầu giải trình được gia hạn theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
534,"Báo cáo Tỷ lệ yêu cầu giải trình được gia hạn theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
535,Báo cáo Tỷ lệ yêu cầu giải trình được gia hạn theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
536,Báo cáo Tỷ lệ yêu cầu giải trình bị đình chỉ tạm thời theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
537,Báo cáo Tỷ lệ yêu cầu giải trình bị đình chỉ tạm thời theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
538,"Báo cáo Tỷ lệ yêu cầu giải trình bị đình chỉ tạm thời theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
539,Báo cáo Tỷ lệ yêu cầu giải trình bị đình chỉ tạm thời theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
540,Báo cáo Tỷ lệ yêu cầu giải trình bị đình chỉ vĩnh viền theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
541,Báo cáo Tỷ lệ yêu cầu giải trình bị đình chỉ vĩnh viễn theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
542,"Báo cáo Tỷ lệ yêu cầu giải trình bị đình chỉ vĩnh viễn theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
543,Báo cáo Tỷ lệ yêu cầu giải trình bị đình chỉ vĩnh viễn theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
544,Xuất báo cáo Tỷ lệ yêu cầu giải trình (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
545,Xuất báo cáo Tỷ lệ yêu cầu giải trình (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.7,Báo cáo tỷ lệ phản hồi,
546,Báo cáo Tỷ lệ phản hồi về giải trình theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
547,Báo cáo Tỷ lệ phản hồi về giải trình theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
548,"Báo cáo Tỷ lệ phản hồi về giải trình theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
549,Báo cáo Tỷ lệ phản hồi về giải trình theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
550,Báo cáo Tỷ lệ phản hồi được chấp nhận theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
551,Báo cáo Tỷ lệ phản hồi được chấp nhận theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
552,"Báo cáo Tỷ lệ phản hồi được chấp nhận theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
553,Báo cáo Tỷ lệ phản hồi được chấp nhận theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
554,Xuất báo cáo Tỷ lệ phản hồi (PDF ),Cán bộ quản lý; Lãnh đạo đơn vị
555,Xuất báo cáo Tỷ lệ phản hồi ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.8,Báo cáo Mức độ hài lòng,
556,Báo cáo Mức độ hài lòng của người yêu cầu giải trình theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
557,Báo cáo Mức độ hài lòng của người yêu cầu giải trình theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
558,"Báo cáo Mức độ hài lòng của người yêu cầu giải trình theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
559,Báo cáo Mức độ hài lòng của người yêu cầu giải trình theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
560,Xuất báo cáo Mức độ hài lòng của người yêu cầu giải trình (PDF ),Cán bộ quản lý; Lãnh đạo đơn vị
561,Xuất báo cáo Mức độ hài lòng của người yêu cầu giải trình (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.9,Báo cáo Lượt truy cập,
562,Báo cáo Lượt truy cập kết quả giải trình công khai theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
563,Báo cáo Lượt truy cập kết quả giải trình công khai theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
564,"Báo cáo Lượt truy cập kết quả giải trình công khai theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
565,Báo cáo Lượt truy cập kết quả giải trình công khai theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
566,Xuất báo cáo Lượt truy cập kết quả giải trình công khai (PDF ),Cán bộ quản lý; Lãnh đạo đơn vị
567,Xuất báo cáo Lượt truy cập kết quả giải trình công khai (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.10,Báo cáo Số lượng thông báo dã gửi,
568,Báo cáo Số lượng SMS đã gửi theo kỳ đối với nghiệp vụ tiếp nhận giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
569,Báo cáo Số lượng SMS đã gửi theo kỳ đối với nghiệp vụ xử lý giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
570,Báo cáo Số lượng SMS đã gửi theo kỳ đối với nghiệp vụ ban hành giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
571,Báo cáo Số lượng Email đã gửi theo kỳ đối với nghiệp vụ tiếp nhận giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
572,Báo cáo Số lượng Email đã gửi theo kỳ đối với nghiệp vụ xử lý giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
573,Báo cáo Số lượng Email đã gửi theo kỳ đối với nghiệp vụ ban hành giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
574,Báo cáo Số lượng thông báo hệ thống đã gửi theo kỳ đối với nghiệp vụ tiếp nhận giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
575,Báo cáo Số lượng thông báo hệ thống đã gửi theo kỳ đối với nghiệp vụ xử lý giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
576,Báo cáo Số lượng thông báo hệ thống đã gửi theo kỳ đối với nghiệp vụ ban hành giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
577,Báo cáo Tỷ lệ SMS gửi thành công theo kỳ đối với nghiệp vụ tiếp nhận giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
578,Báo cáo Tỷ lệ SMS gửi thành công theo kỳ đối với nghiệp vụ xử lý giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
579,Báo cáo Tỷ lệ SMS gửi thành công theo kỳ đối với nghiệp vụ ban hành giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
580,Báo cáo Tỷ lệ Email gửi thành công theo kỳ đối với nghiệp vụ tiếp nhận giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
581,Báo cáo Tỷ lệ Email gửi thành công theo kỳ đối với nghiệp vụ xử lý giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
582,Báo cáo Tỷ lệ Email gửi thành công theo kỳ đối với nghiệp vụ ban hành giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
583,Báo cáo Tỷ lệ thông báo hệ thống gửi thành công theo kỳ đối với nghiệp vụ tiếp nhận giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
584,Báo cáo Tỷ lệ thông báo hệ thống gửi thành công theo kỳ đối với nghiệp vụ xử lý giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
585,Báo cáo Tỷ lệ thông báo hệ thống gửi thành công theo kỳ đối với nghiệp vụ ban hành giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
586,Báo cáo Tỷ lệ Email gửi thất bại theo kỳ đối với nghiệp giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
587,Báo cáo Tỷ lệ thông báo hệ thống gửi thất bại theo kỳ đối với nghiệp vụ tiếp nhận giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
588,Báo cáo Tỷ lệ thông báo hệ thống gửi thất bại theo kỳ đối với nghiệp vụ xử lý giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
589,Báo cáo Tỷ lệ thông báo hệ thống gửi thất bại theo kỳ đối với nghiệp vụ ban hành giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
590,Xuất báo cáo Số lượng thông báo đã gửi (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
591,Xuất báo cáo Số lượng thông báo đã gửi (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.11,Báo cáo danh sách nhân sự,
592,Báo cáo danh sách nhân sự có quyền truy cập hồ sơ yêu cầu giải trình,Quản trị viên hệ thống; Lãnh đạo đơn vị
593,Báo cáo danh sách nhân sự có quyền truy cập hồ sơ xử lý giải trình,Quản trị viên hệ thống; Lãnh đạo đơn vị
594,Báo cáo danh sách nhân sự có quyền truy cập văn bản giải trình,Quản trị viên hệ thống; Lãnh đạo đơn vị
595,Báo cáo danh sách nhân sự có quyền truy cập kết quả giải trình công khai,Quản trị viên hệ thống; Lãnh đạo đơn vị
596,Báo cáo danh sách nhân sự có quyền truy cập hồ sơ khiếu nại về giải trình,Quản trị viên hệ thống; Lãnh đạo đơn vị
597,Xuất báo cáo danh sách nhân sự có quyền truy cập (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
598,Xuất báo cáo danh sách nhân sự có quyền truy cập ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
599,Báo cáo thực hiện công tác trách nhiệm giải trình năm,Cán bộ quản lý; Lãnh đạo đơn vị
600,Báo cáo tổng hợp đánh giá xếp loại các cơ quan,Cán bộ quản lý; Lãnh đạo đơn vị
601,Báo cáo so sánh các cơ quan về thực hiện trách nhiệm giải trình,Cán bộ quản lý; Lãnh đạo đơn vị
602,Báo cáo xu hướng yêu cầu giải trình theo thời gian,Cán bộ quản lý; Lãnh đạo đơn vị
I.12,Báo cáo yêu cầu giải trình,
603,Báo cáo yêu cầu giải trình về quyết định hành chính theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
604,Báo cáo yêu cầu giải trình về quyết định hành chính theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
605,"Báo cáo yêu cầu giải trình về quyết định hành chính theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
606,Báo cáo yêu cầu giải trình về quyết định hành chính theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
607,Báo cáo yêu cầu giải trình về hành vi hành chính theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
608,Báo cáo yêu cầu giải trình về hành vi hành chính theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
609,"Báo cáo yêu cầu giải trình về hành vi hành chính theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
610,Báo cáo yêu cầu giải trình về hành vi hành chính theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
611,Báo cáo yêu cầu giải trình về thực hiện công vụ theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
612,Báo cáo yêu cầu giải trình về thực hiện công vụ theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
613,"Báo cáo yêu cầu giải trình về thực hiện công vụ theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
614,Báo cáo yêu cầu giải trình về thực hiện công vụ theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
615,Xuất báo cáo yêu cầu giải trình (PDF ),Cán bộ quản lý; Lãnh đạo đơn vị
616,Xuất báo cáo yêu cầu giải trình ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.13,Báo cáo Thời gian trung bình,
617,Báo cáo Thời gian trung bình tiếp nhận yêu cầu giải trình theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
618,Báo cáo Thời gian trung bình tiếp nhận yêu cầu giải trình theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
619,"Báo cáo Thời gian trung bình tiếp nhận yêu cầu giải trình theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
620,Báo cáo Thời gian trung bình tiếp nhận yêu cầu giải trình theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
621,Báo cáo Thời gian trung bình xử lý yêu cầu giải trình theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
622,Báo cáo Thời gian trung bình xử lý yêu cầu giải trình theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
623,"Báo cáo Thời gian trung bình xử lý yêu cầu giải trình theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
624,Báo cáo Thời gian trung bình xử lý yêu cầu giải trình theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
625,Xuất báo cáo Thời gian trung bình yêu cầu giải trình (PDF ),Cán bộ quản lý; Lãnh đạo đơn vị
626,Xuất báo cáo Thời gian trung bình yêu cầu giải trình ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.14,Báo cáo Tỷ lệ tiếp nhận yêu cầu giải trình,
627,Báo cáo Tỷ lệ tiếp nhận yêu cầu giải trình qua ứng dụng di động,Cán bộ quản lý; Lãnh đạo đơn vị
628,Báo cáo Tỷ lệ tiếp nhận yêu cầu giải trình qua bộ phận một cửa,Cán bộ quản lý; Lãnh đạo đơn vị
629,Báo cáo Tỷ lệ tiếp nhận yêu cầu giải trình qua bưu điện,Cán bộ quản lý; Lãnh đạo đơn vị
630,"Xuất báo cáo Tỷ lệ tiếp nhận yêu cầu giải trình (PDF, Excel)",Cán bộ quản lý; Lãnh đạo đơn vị
631,Báo cáo Số lượng yêu cầu giải trình theo kênh tiếp nhận theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
632,Báo cáo Số lượng yêu cầu giải trình theo kênh tiếp nhận theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
633,Xuất báo cáo Số lượng yêu cầu giải trình theo kênh tiếp nhận (PDF ),Cán bộ quản lý; Lãnh đạo đơn vị
634,Xuất báo cáo Số lượng yêu cầu giải trình theo kênh tiếp nhận ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
